Id,Site Id,Longitude,Latitude,Report Date / Time,Air Temperature,Wet Bulb,Dew Point,Concrete Temp.,Grass Temp.,Min. Temp. (last 24hr),Max. Temp. (last 24hr),Soil Temp. (at 10cm),Soil Temp. (at 30cm),Soil Temp. (at 100cm),Mean Sea-Level Pressure,Pressure (At Station),Relative Humidity,Rainfall Rate,Rainfall Accumulation,Rainfall,Wind Speed,Wind Direction,Wind Gust,Wind Gust Direction,Snow Depth,Soil Moisture,Present Weather,Visibility,Total Cloud Cover,Sunshine,Ground State,Day of Thunder,Day of Gales,Day of Hail,Day of Snow,Weather Diary,Travel Disruption,Hazards causing Travel Disruption,Property or Infrastructure Damage,Hazards causing Property or Infrastructure Damage,Personal Health and Safety,Hazards causing Personal Health and Safety,Utility Disruption,Hazards causing Utility Disruption,Service or Business Disruption,Hazards causing Service or Business Disruption,Agriculture Habitat Damage,Hazards causing Agriculture Habitat Damage,Disruption to Camping Events Leisure Activities,Hazards causing Disruption to Camping Events Leisure Activities,v1_Coastal,v1_Flood,v1_Ice,v1_Landslide,v1_Lightning,v1_PoorVisibility,v1_Snow,v1_Wildfire,v1_Wind,v1_Other
﻿20231002653t8e5ysae67kyhyyguw4kmwo,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 00:02,9.222222222,,8,,,,,,,,,1013.91873,92,0,0,,0,240,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20231002zcjt7s5yshe67kyhyyguw4ypnh,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 00:07,9.388888889,,8.222222222,,,,,,,,,1013.817139,92,0,0,,0,162,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20231002q7t85amyzye67kyhyytrt84yia,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 00:13,9.611111111,,8.222222222,,,,,,,,,1013.91873,91,0,0,,0,265,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20231002tkboo7myzoe67kyhyyguizn7yh,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 00:18,9.722222222,,8.277777778,,,,,,,,,1013.91873,91,0,0,,0,154,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20231002zd1dzrdyzoe67kyhyyguw4kmwo,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 00:23,9.722222222,,8.111111111,,,,,,,,,1013.715547,90,0,0,,1.4,201,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202310026ya9pj5yzoe67kyhyyguizn7yh,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 00:29,9.722222222,,8.111111111,,,,,,,,,1013.715547,90,0,0,,0.2,315,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20231002r1r5ae5yzwe67kyhyyguw4ypnh,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 00:34,9.611111111,,8,,,,,,,,,1013.91873,90,0,0,,0.2,215,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20231002mondb1uyzwe67kyhyyguizn7yh,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 00:39,9.611111111,,8,,,,,,,,,1013.613955,90,0,0,,0,213,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202310021bzc155yzwe67kyhyyguw4ypnh,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 00:45,9.5,,8.222222222,,,,,,,,,1013.817139,91,0,0,,0,223,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20231002a35pqmdyzwe67kyhyyguw4ypnh,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 00:50,9.611111111,,8.222222222,,,,,,,,,1013.715547,91,0,0,,0,109,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20231002pp93fduyzae67kyhyyguw4kmwo,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 00:55,9.611111111,,8,,,,,,,,,1013.715547,90,0,0,,0,163,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20231002fh3q11myzhe67kyhyyguw4kmwo,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 01:01,9.611111111,,8,,,,,,,,,1013.715547,90,0,0,,0,162,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202310027mm1idmyzhe67kyhyytrt8wywa,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 01:06,9.611111111,,8,,,,,,,,,1013.613955,90,0,0,,0,319,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20231002idzxuymyaye67kyhyytrt8wywa,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 01:11,9.611111111,,8,,,,,,,,,1013.91873,90,0,0,,3,227,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202310021u9s7b5yaoe67kyhyyguizn7yh,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 01:17,9.722222222,,8.111111111,,,,,,,,,1013.715547,90,0,0,,3.5,150,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20231002awygo7myaoe67kyhyyguizn7yh,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 01:22,9.5,,7.888888889,,,,,,,,,1013.410772,90,0,0,,1.1,130,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202310029enpyt5yaoe67kyhyyguw4ypnh,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 01:27,9.277777778,,8,,,,,,,,,1013.512364,91,0,0,,1.9,183,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20231002gaf6btdyawe67kyhyyguw4ypnh,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 01:33,9.222222222,,7.888888889,,,,,,,,,1013.715547,91,0,0,,1.9,178,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20231002cz95rcuyawe67kyhyyguw4ypnh,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 01:38,9.222222222,,7.888888889,,,,,,,,,1013.613955,91,0,0,,2.7,209,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20231002ubxdquuyawe67kyhyyguw4kmwo,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 01:43,9.111111111,,7.777777778,,,,,,,,,1013.613955,91,0,0,,1.9,205,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20231002hnyb58uyawe67kyhyyguw4kmwo,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 01:49,9.111111111,,7.777777778,,,,,,,,,1013.410772,91,0,0,,2.2,184,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20231002uxkacduyaae67kyhyyguw4ypnh,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 01:54,9.222222222,,7.888888889,,,,,,,,,1013.512364,91,0,0,,2.3,212,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20231002m6nriuuyahe67kyhyytrt8wywa,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 01:59,9.277777778,,7.722222222,,,,,,,,,1013.410772,90,0,0,,2.5,174,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20231002duthrr5y3ye67kyhyyguw4ypnh,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 02:05,9.222222222,,7.888888889,,,,,,,,,1013.343044,91,0,0,,3.5,301,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20231002s3nufydy3oe67kyhyyguw4ypnh,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 02:10,9.222222222,,7.611111111,,,,,,,,,1013.512364,90,0,0,,3,138,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202310027zqumw5y3oe67kyhyyguizn7yh,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 02:15,9.222222222,,7.611111111,,,,,,,,,1013.343044,90,0,0,,3.1,196,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20231002re85dcuy3we67kyhyyguw4ypnh,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 02:21,9.111111111,,7.777777778,,,,,,,,,1013.512364,91,0,0,,1.9,212,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20231002myfnommy3we67kyhyyguw4ypnh,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 02:26,9.111111111,,7.777777778,,,,,,,,,1013.343044,91,0,0,,0.2,182,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20231002t9rejrdy3we67kyhyyguizn7yh,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 02:31,9,,7.722222222,,,,,,,,,1013.613955,91,0,0,,2.2,262,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20231002aszy4e5y3we67kyhyyguizn7yh,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 02:37,8.888888889,,7.611111111,,,,,,,,,1013.410772,91,0,0,,0,171,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202310026sip5ymy3we67kyhyyguizn7yh,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 02:42,8.888888889,,7.611111111,,,,,,,,,1013.343044,91,0,0,,0,250,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20231002rxpscg5y3ae67kyhyyguw4ypnh,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 02:47,8.777777778,,7.5,,,,,,,,,1013.410772,91,0,0,,0,150,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202310024q4ytcmy3ae67kyhyyguizz1dh,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 02:53,8.777777778,,7.5,,,,,,,,,1013.241453,91,0,0,,0,202,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20231002tinzpxmy3he67kyhyyguw4ypnh,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 02:58,8.777777778,,7.5,,,,,,,,,1013.410772,91,0,0,,0,354,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20231002ja1esody4ye67kyhyyguizz1dh,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 03:03,8.611111111,,7.388888889,,,,,,,,,1013.343044,92,0,0,,0,330,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20231002she57x5y4ce67kyhyyguw4kmwo,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 03:09,9,,7.722222222,,,,,,,,,1013.038269,91,0,0,,0,207,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20231002h7capbmy4ce67kyhyyguizn7yh,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 03:14,9.222222222,,7.611111111,,,,,,,,,1013.139861,90,0,0,,0,187,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20231002rp8ihsmy4oe67kyhyyguizn7yh,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 03:19,9.388888889,,7.611111111,,,,,,,,,1013.139861,89,0,0,,1.6,159,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20231002mdj47y5y4oe67kyhyyguw4kmwo,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 03:25,9.5,,7.722222222,,,,,,,,,1013.038269,89,0,0,,2.5,36,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20231002151b8zuy4oe67kyhyyguw4ypnh,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 03:30,9.388888889,,7.611111111,,,,,,,,,1013.038269,89,0,0,,2.5,223,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202310023mrmer5y4oe67kyhyyguw4kmwo,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 03:35,8.888888889,,7.277777778,,,,,,,,,1013.139861,90,0,0,,2.2,163,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20231002o4qyq5uy4we67kyhyyguw4kmwo,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 03:41,8.777777778,,7.222222222,,,,,,,,,1013.241453,90,0,0,,0.8,152,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20231002ex59qduy4ae67kyhyyguw4ypnh,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 03:46,8.722222222,,7.388888889,,,,,,,,,1013.139861,91,0,0,,0.6,219,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20231002yzxjgcmy4he67kyhyyguw4ypnh,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 03:51,8.5,,7.222222222,,,,,,,,,1013.139861,91,0,0,,0,170,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20231002aebn4cdy4he67kyhyyguw4ypnh,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 03:57,8.388888889,,7.222222222,,,,,,,,,1013.139861,92,0,0,,0,154,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20231002rywmpimy5ee67kyhyyguw4kmwo,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 04:02,8.388888889,,7.222222222,,,,,,,,,1013.139861,92,0,0,,0,206,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20231002ppefw8my5ee67kyhyyguizn7yh,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 04:07,8.277777778,,7.111111111,,,,,,,,,1013.241453,92,0,0,,0,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20231002wfaostmy5ee67kyhyyguizn7yh,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 04:13,8.277777778,,7.111111111,,,,,,,,,1013.139861,92,0,0,,0,165,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202310024wkioo5y5ee67kyhyyguw4ypnh,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 04:18,8.222222222,,7,,,,,,,,,1012.936678,92,0,0,,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20231002x3u87mdy5ce67kyhyyguw4kmwo,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 04:23,8.222222222,,7,,,,,,,,,1013.038269,92,0,0,,0,110,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20231002edhpng5y5oe67kyhyyguw4kmwo,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 04:29,8.222222222,,7,,,,,,,,,1013.139861,92,0,0,,0.6,159,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023100263jkfxdy5oe67kyhyyguw4ypnh,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 04:34,8.277777778,,7.111111111,,,,,,,,,1013.038269,92,0,0,,0.2,147,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20231002zheeaf5y5we67kyhyyguw4ypnh,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 04:39,8.277777778,,7.111111111,,,,,,,,,1012.835086,92,0,0,,1.9,203,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20231002o4jeqmuy5ae67kyhyyguw4ypnh,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 04:45,8.277777778,,7.111111111,,,,,,,,,1013.038269,92,0,0,,0.2,166,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20231002emjeijuy5he67kyhyyguw4ypnh,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 04:50,8.222222222,,7,,,,,,,,,1012.835086,92,0,0,,0.2,188,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20231002qicbfr5yhre67kyhyyguw4kmwo,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 04:56,8.111111111,,6.888888889,,,,,,,,,1012.835086,92,0,0,,0.8,20,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202310027g1pzu5yhee67kyhyyguw4ypnh,3fddbfc4-b891-ea11-99e5-0003ff596d81,-3.1617,55.8822,02/10/2023 05:01,8,,6.777777778,,,,,,,,,1012.936678,92,0,0,,0.2,192,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
